line,chomosome,vial,eggsin,failed_pupa
5,B,1,50,6
5,B,2,50,8
5,B,3,50,12
5,B,4,50,11
5,B,5,50,2
5,B,6,50,5
5,B,7,50,1
5,B,8,50,2
5,B,9,50,3
5,B,10,50,1
5,B,11,50,1
5,B,12,50,4
5,B,13,50,8
8,B,1,50,5
8,B,2,50,6
8,B,3,50,7
8,B,4,50,2
8,B,5,50,6
8,B,6,50,6
8,B,7,50,15
8,B,8,50,7
8,B,9,50,7
8,B,10,50,2
8,B,11,50,5
8,B,12,50,1
8,B,13,50,3
8,B,14,50,2
8,B,15,50,5
8,B,16,50,2
8,B,17,50,8
8,B,18,50,6
8,B,19,50,6
16,B,1,50,5
16,B,2,50,2
16,B,3,50,5
16,B,4,50,9
16,B,5,50,2
16,B,6,50,0
16,B,7,50,1
16,B,8,50,1
16,B,9,50,10
16,B,10,50,3
16,B,11,50,7
16,B,12,50,3
16,B,13,50,5
16,B,14,50,5
16,B,15,50,8
16,B,16,50,3
16,B,17,50,9
16,B,18,50,4
19,B,1,50,3
19,B,2,50,4
19,B,3,50,2
19,B,4,50,2
19,B,5,50,4
19,B,6,50,4
19,B,7,50,0
19,B,8,50,6
19,B,9,50,7
19,B,10,50,7
19,B,11,50,0
19,B,12,50,6
19,B,13,50,5
19,B,14,50,8
19,B,15,50,7
19,B,16,50,5
19,B,17,50,8
19,B,18,50,7
19,B,19,50,8
19,B,20,50,8
19,B,21,50,5
19,B,22,50,5
24,B,1,50,2
24,B,2,50,2
24,B,3,50,3
24,B,4,50,1
24,B,5,50,3
24,B,6,50,6
24,B,7,50,5
24,B,8,50,8
24,B,9,50,7
24,B,10,50,8
95,B,1,50,7
95,B,2,50,5
95,B,3,50,2
95,B,4,50,3
95,B,5,50,4
95,B,6,50,5
95,B,7,50,12
95,B,8,50,4
5,D,1,50,5
5,D,2,50,4
5,D,3,50,5
5,D,4,50,6
5,D,5,50,5
5,D,6,50,3
5,D,7,50,1
5,D,8,50,3
5,D,9,50,3
5,D,10,50,1
5,D,11,50,2
5,D,12,50,2
5,D,13,50,2
8,D,1,50,4
8,D,2,50,2
8,D,3,50,5
8,D,4,50,5
8,D,5,50,8
8,D,6,50,5
8,D,7,50,7
8,D,8,50,1
8,D,9,50,5
8,D,10,50,0
8,D,11,50,5
8,D,12,50,2
8,D,13,50,5
8,D,14,50,1
8,D,15,50,1
8,D,16,50,2
8,D,17,50,0
8,D,18,50,1
8,D,19,50,1
16,D,1,50,5
16,D,2,50,6
16,D,3,50,8
16,D,4,50,1
16,D,5,50,6
16,D,6,50,2
16,D,7,50,0
16,D,8,50,3
16,D,9,50,0
16,D,10,50,4
16,D,11,50,0
16,D,12,50,2
16,D,13,50,0
16,D,14,50,1
16,D,15,50,1
16,D,16,50,3
16,D,17,50,1
16,D,18,50,1
19,D,1,50,1
19,D,2,50,3
19,D,3,50,1
19,D,4,50,4
19,D,5,50,2
19,D,6,50,4
19,D,7,50,5
19,D,8,50,2
19,D,9,50,5
19,D,10,50,4
19,D,11,50,6
19,D,12,50,1
19,D,13,50,3
19,D,14,50,2
19,D,15,50,2
19,D,16,50,3
19,D,17,50,3
19,D,18,50,7
19,D,19,50,3
19,D,20,50,2
19,D,21,50,6
19,D,22,50,6
24,D,1,50,1
24,D,2,50,1
24,D,3,50,4
24,D,4,50,1
24,D,5,50,1
24,D,6,50,2
24,D,7,50,1
24,D,8,50,0
24,D,9,50,1
24,D,10,50,0
95,D,1,50,3
95,D,2,50,2
95,D,3,50,0
95,D,4,50,2
95,D,5,50,7
95,D,6,50,3
95,D,7,50,5
95,D,8,50,4